service_name,service_category
BEARD DYE (Line Enhancement ),Hair Color
"DoubleFlip with Curls, Deep conditioning, Loc reAttachment","Locs, Hair Treatments, Extensions"
"Crochet (Single strand), Tame My Ends (Trim)","Style, Women's Haircut"
"DEMI PERMANENT COLOR(add on), silk-PRESS (shoulder length)",Hair Color
"Women's Cut, Full Color, Lowlights","Women's Haircut, Highlights"
"Blow out on Natural, Semi Permanent Color","Style, Hair Color"
Men's Cut with Hot Towel Shave,Men's Haircut
"Manicure, Pedicure, Brow waxing",Pedicure
"Partial Highlight, Root Touch Up Only, Women's Cut",Women's Haircut
"Partial highlights, Women's Cut and style, Express Toning, Keratin Smoothing Treatment",Highlights
Summer Special,Eyelashes
"Rebase, Pedicure",Pedicure
GLAM Set (With College ID),Eyelashes
"Seniors and Children Shampoo and Style, Brow Wax",Eyebrows
"Eyebrow Wax & Tint Special, Dermaplaning Summer Special","Eyebrows, Skincare"
"Single Process Color, Partial Foil Highlights","Hair Color, Highlights"
"Shampoo&Style(Silk Press or Signature Curls), Reshape","Natural Hair, Sets & Styles, Style, Women's Haircut"
"Brow Wax, Lip Wax, Bikini Wax, Underarm Wax","Eyebrows, Waxing"
Haircut and Style,Style
"Brazilian Sugaring, Happy trail, Butt Cheek Wax, Eyebrows","Sugaring, Waxing"
"Eyelash extensions, Brow Wax & Tint",Eyelashes
"Eyelash Extension Removal, Lash lift with Lash Tint",Eyelashes
"Full set, Pedicure w/Parrafin",Pedicure
Full Face GLAM,Makeup
"Brow Wax, Chin / Jawline Wax",Eyebrows
Smedium Passion Twists,Twists
2 Week Refill •VOLUME•,Women's Haircut
"Hair color, Hair Trim, Silk press","Hair Color, Women's Haircut, Natural Hair"
"Basic shampoo/ condition/ style, Growth conditioner combo, Steamer conditioner",Women's Haircut
"Large Box Braids- 18""",Braids
"Dimensional 2, Womans Cut",Women's Haircut
"Full Makeup Application, Lashes",Makeup
"Trim, Hair Mask treament, Silk press",Natural Hair
Fill In With Color Powder(My Work),Manicure
"Regrowth (retouch), Half Head Foil Highlight,  Toner, Shampoo & Blow Dry",Hair Color
Feed ins (3-4),Braids
"Gel Pedicure, Fill + Gel Polish","Pedicure, Manicure"
"signature press, Women's Cut, Hair treatment",Women's Haircut
"Extensions, Extensions Take-out",Extensions
"men's haircut, brow wax",Eyebrows
"Haircut (women), Permanent color",Hair Color
3 Week Fill in (My Work Only),Manicure
"Lash tint, Color Care",Eyelashes
"Weave maintenance, Bonding Glue Removal, Tracking / Single Track Sew-In",Weaves
Full Gel Set(active length),Manicure
"Haircut & Facial Hair, Kids haircut with razor",Barber
Male Grooming,Makeup
Full Balayage/ Ombré,Highlights
"Retouch Color with haircut, Eyebrow Shaping",Eyebrows
"Color Retouch, Olaplex, Wax, Women's Cut",Women's Haircut
"Shampoo And Style, Trim, Full Permanent Color w/o Style",Sets & Styles
"Highlight & cut, eyebrow wax",Eyebrows
"Full  Set, Removal",Extensions
"Klix extentions half head, Balayage highlight, Women's Cut",Women's Haircut
"Hair Cut and Style, Root touch up","Women's Haircut, Hair Color"
G E N T ’ S  C U T  +  P O L I S H,Men's Haircut
"Women's Haircut, Root touch-up",Hair Color
"Colors, Women's Huurcut","Women's Haircut, Men's Haircut"
"Eyebrow Fill (regular), Eyebrow Fill (addition to Wax ONLY), Glow Beauty Mink Lashes","Eyebrows, Eyelashes"
"Manicure - Polish, Pedicure - Polish","Manicure, Pedicure"
Hydration treatment & Perm Rod Set,Natural Hair
"Classic Individual Extensions, 2 Feed In Braids","Eyelashes, Braids"
"Women's Cut, Gel Fill In",Women's Haircut
"Sew In (Full head), Long Hair: Braided updos",Weaves
"BLOWOUT, DEEP COND. TREATMENT, TRIM",Style
Premium fade & service,Extensions
Short Hair Maintenance,Relaxers
30 Day ELEVATION Package (Density),Hair Treatments
Beard Trim & line,Barber
"Gel fill, Toes fill",Manicure
"Soak off, Birthday slay",Manicure
Frontal touchup,Weaves
Medium Goddess locs,Locs
Laser Lipo,Wellness
Shampoo set,Sets & Styles
"Shampoo • Blow Dry • Flatiron, Conditioning Treatment, Trim","Natural Hair, Style, Hair Treatments"
Fill-2 Weeks,Manicure
"Brazilian Blowout Frizz Smoothing Treatment, Split End Repair nTreatment",Hair Treatments
Glam Session,Makeup
Innerlock,Locs
"Quickweaves, Hair Cut","Weaves, Women's Haircut"
Relaxer/Demi/Reshape,Chemical Perms
Full Foil Highlights no cut,Highlights
"Partial weave, Toner, Treat.me/Olaplex/B3","Weaves, Hair Color"
Men's Beard Shave only(17 & up),Men's Haircut
"Wash / Style / Treatment, Partial Relaxer",Relaxers
Under wig braids With Wash,Braids
"Men's Cut, Haircut  and Bead Trim",Men's Haircut
"Moisturizing Steam treatment, Silk press, Permanent Color, Braided Retouch on Extensions","Hair Treatments, Natural Hair, Hair Color"
Eyelash Full Set 2D lashes,Eyelashes
"Silk Press, Reconstructive deep conditioning",Natural Hair
"Root Touch Up, Deep conditioning treatment, Signature Blowdry","Hair Color, Hair Treatments, Style"
Poetics Justice Box Braids,Braids
Groupon Brazilian & Underarm NEW CLIENTS ONLY!,Waxing
"Shampoo and Style, Sew in take down",Sets & Styles
"lace closure sew in, sew in removal",Weaves
Trim,Men's Haircut
"Men Haircut & Beard Shave or Lining, Enhancement Fiber","Barber, Men's Haircut"
"Color, Flat Iron",Style
"Permanent Color, Shampoo & Finish",Hair Color
"Shampoo, Press & Curl/Flat Iron",Natural Hair
Lotus Glow Up (full face makeup),Makeup
"Signature Shampoo/Style, Demi- Color Retouch(a la carté)",Hair Color
"Brow Wax, Brow Tint, The Uplift Facial",Eyebrows
4 Feed Ins/No Knots,Braids
Color/ Haircut/Blow-Day,Hair Color
"Women's Cut, Brows that Wow",Women's Haircut
360 Sew In,Weaves
"Brow, European Cleansing Facial, Lash fill, Nose and Ear Wax",Eyelashes
Trim & Style,Women's Haircut
"Short hair perm rod set, Hot oil treatment",Natural Hair
"Relaxer, Women's Cut, Semi-permanent color","Relaxers, Women's Haircut, Hair Color"
Line and Taper,Barber
"Express Brazilian Blowout, Shampoo and Style",Women's Haircut
"Blow out, Hair Cut( A La Carte Service)",Style
"Women`s Haircut, Keratin Treatment","Women's Haircut, Straightening Treatments"
"Color and Highlights, Women's Cut, Wax, Olaplex",Women's Haircut
"Braided Base, Weave /braid removal",Weaves
"Full sew-in with closure, Relaxer","Weaves, Relaxers"
"Eyelash lift & tint (sun & mon only) please arrive  with no eye makeup on., Brow wax + tint","Eyelashes, Eyebrows"
"""Olaplex"" Treatment, Haircut Only",Hair Treatments
"Women’s Dry Cut, Eyebrow Wax","Women's Haircut, Eyebrows"
"Crochet Faux Locs, Shampoo & Individual Crochet braids",Braids
CLASSIC Lash Extensions,Eyelashes
"Loc Maintenance, Loc Styling",Locs
"Shampoo, press and curl, Semi Permanent Color",Hair Color
"Virgin Relaxer, Scalp Treatment","Relaxers, Hair Treatments"
Sew in maintenance (installed by New Look),Weaves
Lash full set,Eyelashes
Rebalance :: Basic nail art,Manicure
"Protein Treatment, Scalp Treatment",Hair Treatments
"Crochet Braids, Travel Fee","Braids, Special Occasion Style"
"Full Color, Eyelash Fill",Eyelashes
Crochet Braid Style (Shampoo Service Included),Braids
"Blow Out (aka silk press), Length",Sets & Styles
Mini Mega  Fill,Eyelashes
"long weave, Women's Cut",Women's Haircut
"Acrylic fill, Gel add on",Manicure
"Women's Cut, Permanent Color, Foil Highlights/Lowlights","Women's Haircut, Hair Color"
"Full Conditioning Relaxer (touch up new growth), Semi-permanent, Wash & Set, Protein treatment for fine hair",Hair Treatments
"Shampoo Style Natural Hair(BlowOut), Treatment (add on)","Natural Hair, Style, Hair Treatments"
Men’s Cut-Regular,"Chemical Perms, Extensions, Hair Color, Hair Treatments, Highlights, Men's Color, Men's Haircut, Women's Haircut"
"Balayage sessions, hair cut",Highlights
ADULT INDIVIDUAL CROCHET GODDESS FAUX LOCS,Braids
"Acrylic Nails Ombré, Acrylic on Toes","Manicure, Pedicure"
"Flat iron, Halo braid",Natural Hair
"Mecha Parcial. Partial Hair Lights, Escova Modelada Curto, Olaplex cabelos curtos","Highlights, Style"
"Full All over color, Women's Cut",Women's Haircut
"Deep Conditioner, Loc Maintenance",Locs
Relaxer Re-touch,Relaxers
Silk Press & Cut,Natural Hair
"Manicure, Women’s shampoo and cut",Sets & Styles
CROCHET BRAIDS (Twist/box braids),Braids
"Color touch-up, Flat iron",Style
"Haircut- fade, Eyebrow Shaping",Eyebrows
NATURAL RETOUCH,Eyelashes
"Cornrows, Shampoo",Braids
"Classic Caesar(NoFADE) w/Beard Trim,","Barber, Men's Haircut"
Kinky Curly Virtue Twist - touch up (short),Natural Hair
"KIDS design cuts, 2nd + ea child after H/ct rate, MENS cut",Men's Haircut
"Volume Full Set Eyelash Extensions, Lower Eyelash Extensions Full Set",Eyelashes
Braidless Crochet Puff,"Braids, Natural Hair, Sets & Styles, Style"
"Ombre/ Balayage + B3, Women’s Cut (ADDED TO COLOR)",Women's Haircut
"Takedown, Braids","Natural Hair, Braids"
"Women's Cut, Gloss/Toner Refresh",Women's Haircut
2 Braids - No Extensions,Braids
"Chemistry Shot, Chromatics Hair Color, Women's Cut",Women's Haircut
"Half Quick Weave, Semi perm (color rinse), Relax taper, Bang Trim",Women's Haircut
"Volume Maintenance, Brow shaping","Eyelashes, Eyebrows"
"Women's cut, Vary upon Styles",Women's Haircut
"Roller set, Deep Conditioning Treatment, All Over Color","Style, Hair Treatments, Hair Color"
Prom 2019 Appts,Makeup
"All Over Color, Men's Haircut",Hair Color
"Partial Highlight & Hotheads Full Extension touch up/, Olaplex",Hair Color
"Women's Haircut, Root Touch-Up",Hair Color
Pre Looped Crochet Hair,Braids
Microlink Install (Braidless Weft Method),Extensions
6 Feedins,Braids
"Brazilian Blowout, Women's Haircut, All Over Color, Brow + Lip Wax","Straightening Treatments, Hair Color"
Specialty 2 week fill,Eyelashes
Bond-In,Weaves
"Partial Highlight and Haircut, Deep Conditioning Treatment","Highlights, Women's Haircut, Hair Treatments"
"Lash Fill 2-3 Weeks, Glycolic Peel",Skincare
"partial sew in, Curly to straight",Weaves
"Volume Lash Fill, Brazilian","Eyelashes, Waxing"
2018 Client Haircut,Men's Haircut
"Crochet Braids, Nioxin Treatment",Braids
"Shampoo and Style, Partial Relaxer","Sets & Styles, Chemical Perms"
Color Change on Acrylics/Hard Gel,Manicure
After or Before Hours,Men's Haircut
"Balayage, Ombre, Sombre, Color Melt, Toner, Additional Color",Hair Color
"Highlight - Full Foil, Color & Cut",Highlights
Color1 all over color/minimal grey with haircut,Hair Color
Kut/Shave/Razor,"Barber, Men's Haircut"
"Tint Color, Men's Cut",Men's Haircut
Bridal Makeup Trial (at studio),Special Occasion Makeup
"Eyebrow Wax, Upper Lip Wax, Chin Wax, Therapeutic Massage","Eyebrows, Waxing"
"Partial sewin, Curls",Weaves
"Gel fill in, Pedicure",Pedicure
"New Set + Gel Polish, 2-4 Fingers",Manicure
"shampoo/basic style, Deep conditioning treatment",Hair Treatments
"Press & Curl, Women's Cut","Natural Hair, Women's Haircut"
"Partial highlight, Root touch up, Women's Cut & blowdry",Hair Color
"Root Touch Up, Women's Cut, Eyebrow Waxing","Hair Color, Women's Haircut, Eyebrows"
"Baby or Partial Highlights, Root Touch Up (Color), Haircut","Highlights, Hair Color, Women's Haircut"
"Partial Foil, Pedicure",Pedicure
Curled or flatironed/ Styled,Style
Root-Below Chin to Shoulder Lengths,Hair Color
"Men's Cut Shampoo/Hot Towel, Nose wax","Men's Haircut, Waxing"
"Toner, Basic Adult Haircut",Hair Color
"Women's Cut, Color (roots only)",Women's Haircut
"Root Retouch Color & Haircut, Brow Wax, Lip Wax, Chin Wax","Eyebrows, Waxing"
Crochet Braids (plus take down),Twists
"Bleach retouch, Women's cut",Women's Haircut
Signature Bob Box Braids,Braids
"Semi- Permanent Color, Extensions (sew-in)",Hair Color
TWIST SET(natural hair),Twists
8-10 FEED IN BRAIDS,Braids
"QuickWeave, Semi/Demi Tint",Weaves
"Silk press, Trim","Natural Hair, Women's Haircut"
CLASSIC Set (Top &Bottom Lash Extension's),Eyelashes
"Childrens Haircut, Eyebrow Wax",Eyebrows
"Acrylic Fill in Short-Medium, Gel Polish, 2 Foil Nails",Manicure
"Butt Wax, Chin Wax, Eyebrow Wax, Women Brazilian Wax","Waxing, Eyebrows"
Feed in braids long,Braids
FANTASY LARGE Box Braids,Braids
"Partial Highlight, Women's Haircut w/ chemical service","Highlights, Women's Haircut"
"Stabilizing Treatment, Trim (add-on only), Steam infusion blowout",Hair Treatments
"Relaxer Retouch, Extra pack of hair",Relaxers
"Balayage, Gloss, pHbonder, Women's Haircut w/ Color",Highlights
"Womans Cut & Style, Relaxer for sides & back for short","Women's Haircut, Relaxers"
"balayage, 30 min Cut","Highlights, Women's Haircut"
"CLOSURE SEW IN, CURLS, SEW IN REMOVAL, ADDITIONAL BUNDLE/PACK INSTALL(add on)","Weaves, Style"
Kid’s Blowout and Curl,Braids
"Silk Press, Craft Treatment, Tint Enhancement(RINSE)",Natural Hair
"Partial balayage, Root smudge add on",Highlights
"Permanent color, The works for Natural Hair",Hair Color
Shampoo & Style Sew-In,Weaves
New growth touch up,Hair Color
Natural Individuals,Eyelashes
Hydration treatment and hair wash,Massage
"Full foil, Dry cut, OLAPLEX, Brow Wax",Eyebrows
Bob Sew In w/ Lace Closure,"Weaves, Women's Haircut"
"-Single Process Only, Men's Cut",Men's Haircut
"Acrylic fill, Shellac add on (hands), Shellac add on (feet)",Manicure
"Retwist & Free Basic Style, Loc Cut","Locs, Twists"
"Acrylic Fill-In, Nail Art, Toe Polish Change",Manicure
"All Over Color, Loc Maintenance","Hair Color, Locs"
"Lash Lift, Lash or Brow Tint","Eyelashes, Eyebrows"
"Color Root Touch Up, Partial Highlights",Highlights
Women's Cut (short),Women's Haircut
"Shampoo, Deep Condition, Blow Dry, Hydrating Treatment",Skincare
Meduim Senegalese Twist Pass Mid Back,Weaves
Memorial Day Sale 4 Session $192.00   Please Specify Which Treatment In Notes Below. This Promotion Includes 4 Session. 60 min Each Session. Also Leave Contact. Taxes Are Included In Price.,Skincare
"Gloss/Glazing, Bang Trim",Women's Haircut
"Wash, Cut, Style - Blow Out, Partial Foil - No Toner, Toner, Color Retouch - Get Rid of Roots","Women's Haircut, Highlights, Hair Color"
"Women's Cut, Base Color Retouch, Glaze Add-On Service, Brow Tint, Lip, Chin or Brow Wax","Women's Haircut, Eyebrows"
"Men's cut, Straight razor neckline,Shampoo,Deep Conditioning Treatment & Style","Barber, Men's Haircut"
"Balayage/ombre, Toner",Hair Color
"Women's Cut, Child cut",Women's Haircut
"wax, Style",Style
"Boy haircut (12yrs old and under), Men's Cut",Men's Haircut
"Root Color, Shellac Manicure, Women's Cut & Blowdry, Pedicure","Manicure, Pedicure"
Even/Beard/Shampoo,Men's Haircut
Maintenance w/ style,Weaves
"brazillian wax, underarm wax",Waxing
Re Overlay,Manicure
"Hard Gel fill in, SPA pedicure, Nail replacement, Nail repair",Pedicure
"Underarm, Brazilian Wax, Half Leg",Waxing
"Brow Wax & Tint, Cluster Lashes","Eyebrows, Eyelashes"
"Color touchup ( roots), Partial highlights, Women's hair cut",Highlights
1 layer Ket Rebraid,Braids
"Add Small Braids Between, 5 Feed-in Braids, Add length (Pass mid back ), Extensions","Braids, Extensions"
"Full Balayage, Haircut w/Color Service",Highlights
"Brazilian Wax Existing Client/Owner, Full Leg Wax, Underarm Wax",Waxing
"Balayage, Extension Tighten",Highlights
"Women's Cut, Teen's Haircut 13-18",Women's Haircut
"eyebrow tint, eye lash tint","Eyebrows, Eyelashes"
"Eyebrow Wax, Brow & Lash Tinting",Eyebrows
After 9pm Line Up &/or Shave ONLY,"Barber, Men's Haircut, Style, Women's Haircut"
"Balayage, Semi permanent/glossing, Womens Cut, Blow Dry","Highlights, Women's Haircut"
"Ombre, Acrylic fill","Highlights, Manicure"
Quickweave 27pc,Weaves
"Relaxer Retouch, Takedown",Relaxers
"Retouch, Toner, Trim WITH a Color Service",Hair Color
"Brow Wax, 2 week lash refill, Brazilian waxing",Eyebrows
Specialty Sets (Mood/Glow),Manicure
"Ladies Haircut, Partial Highlights",Highlights
"Bridal Updo, Bridal Makeup",Special Occasion Makeup
"Dreads or Interlocking (Long or Thick Hair Extra), Permanent Color",Hair Color
"Women’s Dry Short  Cut, DEEP CONDITION•ADD ON ONLY","Women's Haircut, Hair Treatments"
"Full highlights, Micro trim, Toner, Glossing, Conditioning, Extra color",Highlights
"Relaxer Retouch, Demi Haircolor, Cut- Precision",Relaxers
"Silk Press, Permanent hair color",Natural Hair
Kid's Haircuts  (5-12 Years Old),Barber
Ultra Smoothing Treatment Maintenan,Hair Treatments
1-Hr Lash Extension Extension Fill,Eyelashes
"Lace Closure Sew In, Curls","Weaves, Style"
Shampoo Wrap and Curl,Style
"Full Color, Half Head colour weave, Women's Cut",Women's Haircut
"Braidless Sewin Takeout, Color Natural Hair, Crochet braids",Braids
Edge Up,Men's Haircut
"Braids w/ hair, Shampoo & Blowdry",Style
"Gel Manicure, Polish Change Toes, Extensive nail art",Manicure
Individual Eyelash Fill,Eyelashes
"Color, Partial Highlights, Glaze, Brow Wax, Women's Haircut","Highlights, Eyebrows"
"Braids, Shampoo Set","Braids, Sets & Styles"
TWISTOUT,Twists
"Men's Cut, Women's Short Length Cut","Men's Haircut, Women's Haircut"
"Partial Highlight, Woman Haircut, Brow Wax",Eyebrows
"Halo, Women's Cut, Semi Permanent Color","Relaxers, Women's Haircut, Hair Color"
"Color root touchup, Haircut w/purchase of color service, Olaplex treatment","Hair Color, Women's Haircut, Hair Treatments"
"Partial Foil, Eye Brow Wax",Eyebrows
"Partial Highlights, Women's Cut, Toner, Olaplex Treatment, Style","Highlights, Women's Haircut, Hair Color, Hair Treatments, Style"
Clean up,Men's Haircut
Individual Mink  Eyelash Extensions,Eyelashes
"Brow Wax, Summertime Brightening Apple Papaya",Eyebrows
"L'orèal Color, Brazilian Blowout",Straightening Treatments
"Sideburns Wax, Chin Wax, Brow Wax","Waxing, Eyebrows"
Women's Long & Thick Cut,Women's Haircut
First time client (classic set),Eyelashes
Lash Fill Volume,Eyelashes
Wbc & trim & deep conditioner,Women's Haircut
Ombré fullset/short -long,Manicure
"Fill + Gel Polish, Regular Polish Change",Manicure
